squadra,valore_milioni,aggiornato
Inter,738.30,2026-09-23
Juventus,612.70,2026-09-23
Como,568.15,2026-09-23
Milan,503.20,2026-09-23
Roma,498.40,2026-09-23
Atalanta,449.05,2026-09-23
Napoli,424.50,2026-09-23
Fiorentina,353.25,2026-09-23
Lazio,263.55,2026-09-23
Bologna,227.75,2026-09-23
Sassuolo,219.45,2026-09-23
Torino,171.10,2026-09-23
Genoa,165.80,2026-09-23
Udinese,158.80,2026-09-23
Parma,156.13,2026-09-23
Cagliari,141.85,2026-09-23
Venezia,120.25,2026-09-23
Frosinone,113.60,2026-09-23
Monza,112.50,2026-09-23
Lecce,82.55,2026-09-23
